                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     67,               0.044061,               0.042569,               0.049235,               0.010449,                0.81484,                0.81484,                 0.8714,                0.55873,                0.74573,                0.74636,                0.77139,                0.48695,               0.040113,               0.030582,               0.027487,              0.0052431,               0.003466,               0.003466,               0.003466
                     68,               0.043397,               0.042116,               0.050305,               0.011433,                0.84188,                0.79425,                0.87304,                0.56883,                0.76307,                0.72403,                0.76256,                0.49025,               0.040213,               0.030581,               0.027295,              0.0052421,               0.003367,               0.003367,               0.003367
                     69,               0.044408,               0.042254,               0.057423,               0.011762,                0.87479,                0.78967,                0.88146,                0.57862,                 0.7876,                0.71556,                0.77152,                0.49072,               0.039342,               0.030553,               0.027032,              0.0051641,               0.003268,               0.003268,               0.003268
                     70,               0.043307,               0.042095,               0.050778,               0.012026,                0.88656,                0.79557,                0.88235,                0.57243,                0.81095,                0.72521,                0.77561,                0.48823,               0.039493,               0.030703,               0.027128,              0.0051861,               0.003169,               0.003169,               0.003169
                     71,               0.044865,               0.043946,               0.051771,               0.011039,                0.87227,                0.79283,                0.87742,                0.57792,                0.79842,                0.71933,                0.77768,                0.49106,               0.039129,               0.030646,               0.026921,              0.0051491,                0.00307,                0.00307,                0.00307
                     72,               0.042976,               0.044322,               0.053388,               0.011067,                0.88529,                 0.7903,                0.88388,                0.59424,                0.83976,                0.70554,                0.77459,                0.49127,               0.037526,               0.030655,               0.026526,              0.0050379,               0.002971,               0.002971,               0.002971
                     73,               0.042276,                0.04157,                0.05029,               0.011677,                0.87766,                0.80215,                0.88759,                0.60411,                0.79974,                0.74118,                0.78431,                0.48966,               0.037946,               0.030557,               0.026367,               0.004915,               0.002872,               0.002872,               0.002872
                     74,               0.044538,               0.045445,                0.05054,               0.011109,                0.89039,                0.79647,                0.88981,                 0.5777,                0.80694,                0.73468,                0.78207,                0.48872,               0.038664,               0.030058,               0.026653,              0.0047752,               0.002773,               0.002773,               0.002773
                     75,               0.040755,               0.042131,               0.044996,               0.010568,                0.87653,                0.79642,                0.88132,                0.60098,                0.79194,                 0.7432,                0.78708,                 0.5017,               0.038112,                0.02979,               0.026488,              0.0047325,               0.002674,               0.002674,               0.002674
                     76,               0.042194,               0.042673,               0.051578,               0.010907,                0.88106,                0.80262,                0.88879,                0.59725,                0.81831,                0.74413,                0.79129,                 0.5041,               0.037343,               0.029703,               0.026321,              0.0046778,               0.002575,               0.002575,               0.002575
                     77,               0.040459,               0.040503,               0.049071,                0.01119,                0.87161,                0.79857,                0.88701,                0.60403,                0.80329,                0.73938,                0.78386,                0.50434,               0.036709,               0.029715,               0.026306,              0.0046192,               0.002476,               0.002476,               0.002476
                     78,               0.041084,                0.04293,               0.047996,               0.010322,                0.86019,                0.80266,                 0.8829,                0.60244,                0.80156,                0.76167,                  0.793,                0.50949,               0.037234,               0.029598,                0.02624,              0.0045689,               0.002377,               0.002377,               0.002377
                     79,               0.041855,               0.041505,               0.048896,               0.010354,                0.88525,                0.81286,                0.89447,                0.61475,                 0.8429,                0.74863,                0.80019,                0.50447,               0.035694,               0.029433,               0.025831,               0.004511,               0.002278,               0.002278,               0.002278
                     80,               0.040106,                0.03907,               0.045173,              0.0092356,                0.88706,                0.81306,                0.89718,                0.60944,                0.84748,                0.75232,                0.80246,                0.50229,               0.035918,                0.02941,               0.025952,              0.0044327,               0.002179,               0.002179,               0.002179
                     81,                 0.0412,               0.040781,               0.050557,               0.010423,                0.89673,                 0.8078,                0.89274,                0.61646,                0.84278,                0.75138,                0.79688,                0.50708,               0.035889,               0.029356,               0.025979,              0.0043359,                0.00208,                0.00208,                0.00208
                     82,               0.040039,               0.041921,               0.048504,              0.0095699,                0.89027,                0.81249,                0.89348,                0.60377,                0.84069,                0.75195,                0.79831,                0.49855,               0.036833,               0.029184,               0.025912,              0.0042633,               0.001981,               0.001981,               0.001981
                     83,                0.03908,               0.040135,               0.044035,               0.010056,                   0.89,                  0.801,                0.89179,                0.62401,                0.84261,                0.73242,                0.79501,                0.50825,               0.035513,               0.029036,               0.025593,              0.0042504,               0.001882,               0.001882,               0.001882
                     84,               0.039084,                0.04203,               0.050071,              0.0099199,                0.90132,                0.80225,                0.89151,                0.63764,                0.84112,                0.75467,                 0.8055,                0.51825,               0.034572,               0.028979,               0.025302,              0.0042158,               0.001783,               0.001783,               0.001783
                     85,               0.040952,                0.04147,               0.051833,              0.0096972,                0.88835,                 0.8138,                 0.8891,                0.63274,                0.82627,                0.75813,                0.80066,                 0.5236,               0.035184,               0.028942,               0.025317,               0.004151,               0.001684,               0.001684,               0.001684
                     86,               0.039671,               0.040856,               0.045012,               0.011473,                0.89759,                0.81379,                0.88933,                0.64446,                0.84994,                0.75181,                0.80417,                0.52249,               0.034941,               0.028998,               0.025288,                0.00413,               0.001585,               0.001585,               0.001585
                     87,                0.04078,               0.041074,               0.046624,              0.0094324,                 0.9034,                0.80708,                0.89093,                0.65232,                0.85873,                0.75101,                0.80203,                0.52918,               0.034754,               0.028881,               0.025171,              0.0041149,               0.001486,               0.001486,               0.001486
